variation,mean_offset_ms,mean_abs_offset_ms,rms_offset_ms,max_offset_ms,std_dev_ms,jitter_ms,convergence_s,settling_1pct_s
Sync=5s (Stable),461.57428313945906,2254.370664728099,3459.4693199331628,17891.36052131653,3428.5386328147324,173.8163941901734,,
Sync=10s (Stable),-553.0241604509025,1676.37168950048,3828.2208133295603,17892.134189605713,3788.0653206573943,48.01518375329396,,
Sync=20s (Stable),-786.621363957723,1599.180809656779,4639.525986371877,17893.516302108765,4572.354777134559,20.42578243131257,,
Sync=30s (Stable),-900.0515937805176,3786.2350940704346,6667.196646128915,17873.430252075195,6606.165169497793,110.37737432387246,,
