variation,mean_offset_ms,mean_abs_offset_ms,rms_offset_ms,max_offset_ms,std_dev_ms,ss_mean_ms,ss_rms_ms,ss_std_ms,ss_jitter_ms,convergence_s,settling_1pct_s
Sync=5s,-216.67962559198926,1790.1533619832185,3497.9131115118303,17789.38627243042,3491.195508065924,585.1356453365751,594.1081484729965,102.8628632625112,102.8628632625112,,175.09993267059326
Sync=10s,-515.6596024831136,1627.1716753641765,3743.165484030573,17789.08109664917,3707.476637175856,550.4270394643148,552.2801099422122,45.20391647116046,45.20391647116046,,45.000338554382324
Sync=20s,-782.0015748341879,1589.9766445159912,4612.596069432176,17789.836645126343,4545.824021747653,374.8772144317627,375.21525072249676,15.923519542749801,15.923519542749801,,25.000030040740967
Sync=30s,-894.9243545532227,3777.8121948242188,6639.99629764693,17789.666175842285,6579.411921470826,316.33631388346356,335.5603717514512,111.94686064644674,111.94686064644674,,125.09995698928833
