variation,mean_offset_ms,mean_abs_offset_ms,rms_offset_ms,max_offset_ms,std_dev_ms,jitter_ms,convergence_s,settling_1pct_s
Conservative PI,-914.6901369094849,2680.7055605782402,5027.337569203942,17839.7376537323,4943.42644207132,34.161433757675795,,
Balanced PI,-429.6319352255927,2092.4766461054483,4586.837271821442,17885.777473449707,4566.671934615479,2951.5197238869514,,
Aggressive PI,-273.6554940541585,2324.9860604604087,5057.692418872457,17886.35802268982,5050.283682576049,30.263785413407987,,
Fast sync (5s),-367.5656114305769,1838.982275554112,3775.654870722599,17887.0267868042,3757.7207485528975,83.51688635829096,,
Slow sync (20s),-1562.6476605733235,2412.968264685737,5980.5410302630635,17890.27166366577,5772.781245081498,4.98164538638809,,
