exp_time,servo_time,baseline_time,sync_time,offset
4.76837158203125e-06,1768698294.266267,1768698294.266267,,
0.1003713607788086,1768698294.3666637,1768698294.3666637,,
0.20037388801574707,1768698294.4666963,1768698294.4666963,,
0.30021238327026367,1768698294.5665648,1768698294.5665648,,
0.40038228034973145,1768698294.6667647,1768698294.6667647,,
0.5003862380981445,1768698294.7667987,1768698294.7667987,,
0.6003766059875488,1768698294.8668191,1768698294.8668191,,
0.7000954151153564,1768698294.9665678,1768698294.9665678,,
0.8000926971435547,1768698295.066595,1768698295.066595,,
0.9003634452819824,1768698295.1668959,1768698295.1668959,,
1.0003783702850342,1768698295.2669408,1768698295.2669408,,
1.1003680229187012,1768698295.3669605,1768698295.3669605,,
1.2004683017730713,1768698295.4670908,1768698295.4670908,,
1.3003802299499512,1768698295.5670328,1768698295.5670328,,
1.4000954627990723,1768698295.6667778,1768698295.6667778,,
1.5003690719604492,1768698295.7670815,1768698295.7670815,,
1.6003696918487549,1768698295.8671122,1768698295.8671122,,
1.7004246711730957,1768698295.9671972,1768698295.9671972,,
1.8000881671905518,1768698296.0668905,1768698296.0668905,,
1.9001328945159912,1768698296.1669652,1768698296.1669652,,
2.0003695487976074,1768698296.267232,1768698296.267232,,
2.1003658771514893,1768698296.3672583,1768698296.3672583,,
2.2003636360168457,1768698296.467286,1768698296.467286,,
2.300382375717163,1768698296.567335,1768698296.567335,,
2.4001269340515137,1768698296.6671095,1768698296.6671095,,
2.5003600120544434,1768698296.7673726,1768698296.7673726,,
2.6003522872924805,1768698296.867395,1768698296.867395,,
2.700143337249756,1768698296.967216,1768698296.967216,,
2.8003220558166504,1768698297.0674248,1768698297.0674248,,
2.9003708362579346,1768698297.1675036,1768698297.1675036,,
3.000371217727661,1768698297.267534,1768698297.267534,,
3.1003804206848145,1768698297.3675733,1768698297.3675733,,
3.200390577316284,1768698297.4676135,1768698297.4676135,,
3.3001291751861572,1768698297.567382,1768698297.567382,,
3.4001376628875732,1768698297.6674206,1768698297.6674206,,
3.500415563583374,1768698297.7677286,1768698297.7677286,,
3.6003777980804443,1768698297.8677208,1768698297.8677208,,
3.7003791332244873,1768698297.9677522,1768698297.9677522,,
3.800445795059204,1768698298.067849,1768698298.067849,,
3.9003405570983887,1768698298.1677737,1768698298.1677737,,
4.00037145614624,1768698298.2678347,1768698298.2678347,,
4.100389242172241,1768698298.3678825,1768698298.3678825,,
4.200389385223389,1768698298.4679127,1768698298.4679127,,
4.3004045486450195,1768698298.5679579,1768698298.5679579,,
4.400346040725708,1768698298.6679294,1768698298.6679294,,
4.500094652175903,1768698298.767708,1768698298.767708,,
4.600381851196289,1768698298.8680253,1768698298.8680253,,
4.700367212295532,1768698298.9680407,1768698298.9680407,,
4.800377607345581,1768698299.0680811,1768698299.0680811,,
4.900120735168457,1768698299.1678543,1768698299.1678543,,
5.000373363494873,1768698299.080895,1768698299.268137,5.000373363494873,-17.785494089126587
5.115626811981201,1768698298.980924,1768698299.383425,,
