exp_time,servo_time,baseline_time,sync_time,offset
5.0067901611328125e-06,1768698112.1393611,1768698112.1393611,,
0.10033345222473145,1768698112.2397196,1768698112.2397196,,
0.2003765106201172,1768698112.3397927,1768698112.3397927,,
0.30013394355773926,1768698112.4395802,1768698112.4395802,,
0.40014004707336426,1768698112.5396163,1768698112.5396163,,
0.5003678798675537,1768698112.6398742,1768698112.6398742,,
0.600456714630127,1768698112.739993,1768698112.739993,,
0.7003779411315918,1768698112.8399444,1768698112.8399444,,
0.8003561496734619,1768698112.9399526,1768698112.9399526,,
0.9003584384918213,1768698113.039985,1768698113.039985,,
1.0003626346588135,1768698113.1400192,1768698113.1400192,,
1.1001489162445068,1768698113.2398355,1768698113.2398355,,
1.2003614902496338,1768698113.340078,1768698113.340078,,
1.3001370429992676,1768698113.4398837,1768698113.4398837,,
1.4001576900482178,1768698113.5399344,1768698113.5399344,,
1.5003814697265625,1768698113.6401882,1768698113.6401882,,
1.6004481315612793,1768698113.740285,1768698113.740285,,
1.7003867626190186,1768698113.8402536,1768698113.8402536,,
1.8003673553466797,1768698113.9402642,1768698113.9402642,,
1.900383472442627,1768698114.0403104,1768698114.0403104,,
2.000387191772461,1768698114.1403441,1768698114.1403441,,
2.1001274585723877,1768698114.2401145,1768698114.2401145,,
2.200362205505371,1768698114.3403792,1768698114.3403792,,
2.3001351356506348,1768698114.4401822,1768698114.4401822,,
2.4003746509552,1768698114.5404518,1768698114.5404518,,
2.500375747680664,1768698114.640483,1768698114.640483,,
2.6003646850585938,1768698114.7405019,1768698114.7405019,,
2.7003870010375977,1768698114.8405542,1768698114.8405542,,
2.80010986328125,1768698114.940307,1768698114.940307,,
2.9003658294677734,1768698115.040593,1768698115.040593,,
3.0003764629364014,1768698115.1406336,1768698115.1406336,,
3.1001248359680176,1768698115.240412,1768698115.240412,,
3.2004270553588867,1768698115.3407443,1768698115.3407443,,
3.3003344535827637,1768698115.4406817,1768698115.4406817,,
3.40036940574646,1768698115.5407467,1768698115.5407467,,
3.5003693103790283,1768698115.6407766,1768698115.6407766,,
3.6003565788269043,1768698115.740794,1768698115.740794,,
3.7003355026245117,1768698115.840803,1768698115.840803,,
3.800356388092041,1768698115.9408538,1768698115.9408538,,
3.900336980819702,1768698116.0408645,1768698116.0408645,,
4.0003602504730225,1768698116.1409178,1768698116.1409178,,
4.100123405456543,1768698116.240711,1768698116.240711,,
4.200366735458374,1768698116.3409843,1768698116.3409843,,
4.300323724746704,1768698116.4409714,1768698116.4409714,,
4.400381565093994,1768698116.5410593,1768698116.5410593,,
4.500373601913452,1768698116.6410813,1768698116.6410813,,
4.6000940799713135,1768698116.7408316,1768698116.7408316,,
4.700358152389526,1768698116.8411257,1768698116.8411257,,
4.80035924911499,1768698116.9411569,1768698116.9411569,,
4.900135040283203,1768698117.0409627,1768698117.0409627,,
5.0003662109375,1768698116.9540038,1768698117.141224,5.0003662109375,-17.78739643096924
5.113884925842285,1768698116.855517,1768698117.2547767,,
5.200352191925049,1768698116.7804995,1768698117.34127,,
5.30048131942749,1768698116.6936293,1768698117.4414291,,
5.400208950042725,1768698116.6071074,1768698117.5411866,,
5.500380754470825,1768698116.5202,1768698117.6413884,,
5.600341796875,1768698116.4334755,1768698117.7413795,,
5.700338840484619,1768698116.3467197,1768698117.8414066,,
5.800357341766357,1768698116.2599454,1768698117.9414551,,
5.900357246398926,1768698116.1731873,1768698118.041485,,
6.000342130661011,1768698116.0864422,1768698118.1415,,
6.100081443786621,1768698115.99991,1768698118.2412694,,
6.200343132019043,1768698115.9129248,1768698118.341561,,
6.300313234329224,1768698115.8261924,1768698118.4415612,,
6.400332927703857,1768698115.739417,1768698118.541611,,
6.500348806381226,1768698115.652645,1768698118.6416569,,
6.600155830383301,1768698115.5660543,1768698118.741494,,
6.700374364852905,1768698115.4791064,1768698118.8417425,,
6.800349950790405,1768698115.3923693,1768698118.9417481,,
6.900519132614136,1768698115.3054643,1768698119.0419474,,
7.000360488891602,1768698115.2188437,1768698119.1418188,,
7.100387811660767,1768698115.1320617,1768698119.2418761,,
7.2003703117370605,1768698115.0453186,1768698119.3418887,,
7.300148963928223,1768698114.9587524,1768698119.4416974,,
7.4004387855529785,1768698114.8717427,1768698119.5420172,,
7.500372886657715,1768698114.7850416,1768698119.6419814,,
7.60038423538208,1768698114.6982734,1768698119.7420228,,
7.700336217880249,1768698114.6115568,1768698119.8420048,,
7.800097942352295,1768698114.5250053,1768698119.9417965,,
7.900302171707153,1768698114.4380698,1768698120.0420308,,
8.00036334991455,1768698114.3512585,1768698120.142122,,
8.100363492965698,1768698114.2645001,1768698120.2421522,,
8.200340986251831,1768698114.1777616,1768698120.3421597,,
8.300143957138062,1768698114.0911744,1768698120.4419928,,
8.400337934494019,1768698114.004248,1768698120.5422168,,
8.500343799591064,1768698113.9174845,1768698120.6422527,,
8.600356101989746,1768698113.8307157,1768698120.742295,,
8.700381994247437,1768698113.7439349,1768698120.842351,,
8.800357103347778,1768698113.6571982,1768698120.942356,,
8.900074243545532,1768698113.5706854,1768698121.042103,,
9.00052523612976,1768698113.483536,1768698121.142584,,
9.100374221801758,1768698113.3969088,1768698121.242463,,
9.200376987457275,1768698113.3101482,1768698121.342496,,
9.300126314163208,1768698113.2236075,1768698121.4422753,,
9.400128364562988,1768698113.1368475,1768698121.5423074,,
9.500441074371338,1768698113.049818,1768698121.6426501,,
9.600378036499023,1768698112.9631145,1768698121.7426171,,
9.700358867645264,1768698112.8763728,1768698121.842628,,
