exp_time,servo_time,baseline_time,sync_time,offset
3.0994415283203125e-06,1769277017.1936615,1769277017.1936615,,
0.1000375747680664,1769277017.293726,1769277017.293726,,
0.20007634162902832,1769277017.3937948,1769277017.3937948,,
0.30007076263427734,1769277017.4938192,1769277017.4938192,,
0.40007472038269043,1769277017.5938532,1769277017.5938532,,
0.500072717666626,1769277017.6938813,1769277017.6938813,,
0.6000902652740479,1769277017.7939289,1769277017.7939289,,
0.7000768184661865,1769277017.8939455,1769277017.8939455,,
0.8000695705413818,1769277017.9939682,1769277017.9939682,,
0.900092601776123,1769277018.0940213,1769277018.0940213,,
1.0000739097595215,1769277018.1940327,1769277018.1940327,,
1.1000761985778809,1769277018.294065,1769277018.294065,,
1.2000751495361328,1769277018.394094,1769277018.394094,,
1.3000743389129639,1769277018.4941232,1769277018.4941232,,
1.4000344276428223,1769277018.5941133,1769277018.5941133,,
1.5000739097595215,1769277018.6941829,1769277018.6941829,,
1.6000699996948242,1769277018.794209,1769277018.794209,,
1.7000694274902344,1769277018.8942385,1769277018.8942385,,
1.8000738620758057,1769277018.994273,1769277018.994273,,
1.9000303745269775,1769277019.0942595,1769277019.0942595,,
2.0000646114349365,1769277019.1943238,1769277019.1943238,,
2.100093126296997,1769277019.2943823,1769277019.2943823,,
2.2000744342803955,1769277019.3943937,1769277019.3943937,,
2.3000502586364746,1769277019.4943995,1769277019.4943995,,
2.4000253677368164,1769277019.5944047,1769277019.5944047,,
2.500075578689575,1769277019.694485,1769277019.694485,,
2.600090980529785,1769277019.7945304,1769277019.7945304,,
2.7000672817230225,1769277019.8945367,1769277019.8945367,,
2.800032138824463,1769277019.9945316,1769277019.9945316,,
2.90006947517395,1769277020.094599,1769277020.094599,,
3.000044584274292,1769277020.1946042,1769277020.1946042,,
3.100074291229248,1769277020.294664,1769277020.294664,,
3.2000913619995117,1769277020.394711,1769277020.394711,,
3.3000831604003906,1769277020.4947329,1769277020.4947329,,
3.400054931640625,1769277020.5947347,1769277020.5947347,,
3.5000290870666504,1769277020.6947389,1769277020.6947389,,
3.6000726222991943,1769277020.7948124,1769277020.7948124,,
3.7000234127044678,1769277020.8947933,1769277020.8947933,,
3.800062417984009,1769277020.9948623,1769277020.9948623,,
3.900040626525879,1769277021.0948706,1769277021.0948706,,
4.0000693798065186,1769277021.1949294,1769277021.1949294,,
4.100049257278442,1769277021.2949393,1769277021.2949393,,
4.200018882751465,1769277021.394939,1769277021.394939,,
4.300055980682373,1769277021.495006,1769277021.495006,,
4.400034189224243,1769277021.5950143,1769277021.5950143,,
4.500070095062256,1769277021.6950803,1769277021.6950803,,
