exp_time,servo_time,baseline_time,sync_time,offset
3.337860107421875e-06,1769271813.0147564,1769271813.0147564,,
0.10003376007080078,1769271813.114817,1769271813.114817,,
0.2000749111175537,1769271813.214888,1769271813.214888,,
0.30004334449768066,1769271813.3148866,1769271813.3148866,,
0.40007615089416504,1769271813.4149494,1769271813.4149494,,
0.5000557899475098,1769271813.514959,1769271813.514959,,
0.6000711917877197,1769271813.6150045,1769271813.6150045,,
0.7000916004180908,1769271813.715055,1769271813.715055,,
0.8000929355621338,1769271813.8150864,1769271813.8150864,,
0.900090217590332,1769271813.9151137,1769271813.9151137,,
1.0000734329223633,1769271814.015127,1769271814.015127,,
1.1000730991363525,1769271814.1151567,1769271814.1151567,,
1.2000739574432373,1769271814.2151875,1769271814.2151875,,
1.3000690937042236,1769271814.3152127,1769271814.3152127,,
1.4000732898712158,1769271814.415247,1769271814.415247,,
1.500075340270996,1769271814.515279,1769271814.515279,,
1.6000440120697021,1769271814.6152778,1769271814.6152778,,
1.7000737190246582,1769271814.7153375,1769271814.7153375,,
1.8000514507293701,1769271814.8153453,1769271814.8153453,,
1.9000513553619385,1769271814.9153752,1769271814.9153752,,
2.000070333480835,1769271815.0154243,1769271815.0154243,,
2.1000723838806152,1769271815.1154563,1769271815.1154563,,
2.2000927925109863,1769271815.2155068,1769271815.2155068,,
2.3000247478485107,1769271815.3154688,1769271815.3154688,,
2.400059938430786,1769271815.415534,1769271815.415534,,
2.500039577484131,1769271815.5155437,1769271815.5155437,,
2.600071668624878,1769271815.6156058,1769271815.6156058,,
2.7000732421875,1769271815.7156374,1769271815.7156374,,
2.800086259841919,1769271815.8156805,1769271815.8156805,,
2.9000651836395264,1769271815.9156895,1769271815.9156895,,
3.000070810317993,1769271816.0157251,1769271816.0157251,,
3.100071430206299,1769271816.1157558,1769271816.1157558,,
3.2000949382781982,1769271816.2158093,1769271816.2158093,,
3.300089120864868,1769271816.3158336,1769271816.3158336,,
3.4000658988952637,1769271816.4158404,1769271816.4158404,,
3.5000336170196533,1769271816.5158381,1769271816.5158381,,
3.6000707149505615,1769271816.6159053,1769271816.6159053,,
3.7000465393066406,1769271816.7159111,1769271816.7159111,,
3.800069570541382,1769271816.8159642,1769271816.8159642,,
3.9000589847564697,1769271816.9159837,1769271816.9159837,,
4.000034332275391,1769271817.015989,1769271817.015989,,
4.100093126296997,1769271817.116078,1769271817.116078,,
4.20004677772522,1769271817.2160616,1769271817.2160616,,
4.300066232681274,1769271817.316111,1769271817.316111,,
4.40007209777832,1769271817.416147,1769271817.416147,,
4.500070333480835,1769271817.5161753,1769271817.5161753,,
4.600071430206299,1769271817.6162064,1769271817.6162064,,
4.700045585632324,1769271817.7162106,1769271817.7162106,,
4.800027847290039,1769271817.816223,1769271817.816223,,
4.90009069442749,1769271817.9163158,1769271817.9163158,,
5.000079393386841,1769271817.8295574,1769271818.0163345,5.000079393386841,-17.79039978981018
5.1112964153289795,1769271817.7330563,1769271818.127585,,
5.200087308883667,1769271817.656014,1769271818.2164025,,
5.300077438354492,1769271817.5692544,1769271818.3164227,,
5.400097131729126,1769271817.482469,1769271818.4164724,,
5.500089883804321,1769271817.3957071,1769271818.5164952,,
5.60007119178772,1769271817.3089552,1769271818.6165066,,
5.700024843215942,1769271817.2222273,1769271818.7164903,,
5.800066947937012,1769271817.1354227,1769271818.8165624,,
5.900041341781616,1769271817.0486767,1769271818.9165668,,
6.000072002410889,1769271816.9618819,1769271819.0166276,,
6.100049734115601,1769271816.875133,1769271819.1166353,,
6.200028419494629,1769271816.7883832,1769271819.216644,,
6.300061941146851,1769271816.701586,1769271819.3167076,,
6.4000444412231445,1769271816.614833,1769271819.4167202,,
6.50006890296936,1769271816.5280437,1769271819.5167747,,
6.600050210952759,1769271816.4412918,1769271819.616786,,
6.700028657913208,1769271816.3545423,1769271819.7167945,,
6.80005407333374,1769271816.267752,1769271819.81685,,
6.900038480758667,1769271816.1809974,1769271819.9168644,,
7.000070571899414,1769271816.0942013,1769271820.0169265,,
7.10004997253418,1769271816.007451,1769271820.116936,,
7.200091361999512,1769271815.920647,1769271820.2170074,,
7.300091981887817,1769271815.8338783,1769271820.317038,,
7.400030136108398,1769271815.7471638,1769271820.4170063,,
7.500068426132202,1769271815.6603622,1769271820.5170746,,
7.600039720535278,1769271815.573619,1769271820.617076,,
7.700018644332886,1769271815.486869,1769271820.717085,,
7.800050497055054,1769271815.4000733,1769271820.8171468,,
7.900029897689819,1769271815.313323,1769271820.9171562,,
8.000069618225098,1769271815.2265203,1769271821.017226,,
8.100043535232544,1769271815.1397748,1769271821.11723,,
8.20001745223999,1769271815.0530293,1769271821.217234,,
8.300046443939209,1769271814.9662359,1769271821.317293,,
8.400028944015503,1769271814.879483,1769271821.4173055,,
8.500060081481934,1769271814.792688,1769271821.5173666,,
8.600041627883911,1769271814.7059357,1769271821.6173782,,
8.700016498565674,1769271814.6191893,1769271821.7173831,,
8.800052642822266,1769271814.5323896,1769271821.8174493,,
8.900026798248291,1769271814.445644,1769271821.9174535,,
9.000062704086304,1769271814.3588445,1769271822.0175195,,
9.100040435791016,1769271814.2720957,1769271822.1175272,,
9.200016975402832,1769271814.1853478,1769271822.2175338,,
9.300051927566528,1769271814.0985494,1769271822.3175988,,
9.40002727508545,1769271814.0118027,1769271822.4176042,,
9.500056982040405,1769271813.9250088,1769271822.517664,,
9.600038290023804,1769271813.8382568,1769271822.6176753,,
9.70000958442688,1769271813.7515135,1769271822.7176766,,
9.800047397613525,1769271813.6647124,1769271822.8177445,,
9.900023937225342,1769271813.5779645,1769271822.917751,,
10.000062942504883,1769271813.4911625,1769271823.0178201,,
10.100036859512329,1769271813.404417,1769271823.117824,,
10.200010776519775,1769271813.3176715,1769271823.217828,,
10.300042867660522,1769271813.2308755,1769271823.3178902,,
10.400025606155396,1769271813.1441224,1769271823.417903,,
10.50005578994751,1769271813.057328,1769271823.5179632,,
10.6000497341156,1769271812.970565,1769271823.6179872,,
10.700021505355835,1769271812.8838215,1769271823.717989,,
10.800055742263794,1769271812.7970235,1769271823.8180532,,
10.900034666061401,1769271812.7102737,1769271823.9180622,,
11.0000741481781,1769271812.6234713,1769271824.0181317,,
11.100063800811768,1769271812.536712,1769271824.1181514,,
11.20008111000061,1769271812.4499288,1769271824.2181988,,
11.300089120864868,1769271812.3631537,1769271824.3182368,,
11.400060415267944,1769271812.2764103,1769271824.4182382,,
11.500065565109253,1769271812.1896377,1769271824.5182734,,
11.600030183792114,1769271812.1029003,1769271824.618268,,
11.700060844421387,1769271812.0161054,1769271824.7183287,,
11.800036668777466,1769271811.9293582,1769271824.8183346,,
11.90006399154663,1769271811.8425663,1769271824.918392,,
12.000058889389038,1769271811.7558024,1769271825.018417,,
12.100072622299194,1769271811.6690223,1769271825.1184607,,
12.200042486190796,1769271811.5822802,1769271825.2184606,,
12.300019979476929,1769271811.4955316,1769271825.318468,,
