exp_time,servo_time,baseline_time,sync_time,offset
3.337860107421875e-06,1769271995.2378738,1769271995.2378738,,
0.10009646415710449,1769271995.337997,1769271995.337997,,
0.20008230209350586,1769271995.4380128,1769271995.4380128,,
0.3000936508178711,1769271995.5380542,1769271995.5380542,,
0.40009403228759766,1769271995.6380847,1769271995.6380847,,
0.500096321105957,1769271995.738117,1769271995.738117,,
0.6000802516937256,1769271995.838131,1769271995.838131,,
0.7000963687896729,1769271995.938177,1769271995.938177,,
0.8000762462615967,1769271996.038187,1769271996.038187,,
0.9000935554504395,1769271996.1382344,1769271996.1382344,,
1.0000700950622559,1769271996.238241,1769271996.238241,,
1.1000938415527344,1769271996.3382947,1769271996.3382947,,
1.2000916004180908,1769271996.4383225,1769271996.4383225,,
1.3000917434692383,1769271996.5383527,1769271996.5383527,,
1.4000933170318604,1769271996.6383843,1769271996.6383843,,
1.5000860691070557,1769271996.7384071,1769271996.7384071,,
1.600069284439087,1769271996.8384204,1769271996.8384204,,
1.7000963687896729,1769271996.9384775,1769271996.9384775,,
1.8000824451446533,1769271997.0384936,1769271997.0384936,,
1.9000961780548096,1769271997.1385374,1769271997.1385374,,
2.000073194503784,1769271997.2385445,1769271997.2385445,,
2.100095748901367,1769271997.338597,1769271997.338597,,
2.200089454650879,1769271997.4386208,1769271997.4386208,,
2.3000924587249756,1769271997.5386539,1769271997.5386539,,
2.4000935554504395,1769271997.638685,1769271997.638685,,
2.500094175338745,1769271997.7387156,1769271997.7387156,,
2.600076198577881,1769271997.8387277,1769271997.8387277,,
2.700087785720825,1769271997.9387693,1769271997.9387693,,
2.800020217895508,1769271998.0387318,1769271998.0387318,,
2.9000608921051025,1769271998.1388025,1769271998.1388025,,
3.0000312328338623,1769271998.238803,1769271998.238803,,
3.1000683307647705,1769271998.33887,1769271998.33887,,
3.2000434398651123,1769271998.4388752,1769271998.4388752,,
3.300015926361084,1769271998.5388777,1769271998.5388777,,
3.4000611305236816,1769271998.638953,1769271998.638953,,
3.500032424926758,1769271998.7389543,1769271998.7389543,,
3.6000702381134033,1769271998.8390222,1769271998.8390222,,
3.7000396251678467,1769271998.9390216,1769271998.9390216,,
3.8000199794769287,1769271999.039032,1769271999.039032,,
3.9000542163848877,1769271999.1390963,1769271999.1390963,,
4.0000340938568115,1769271999.2391062,1769271999.2391062,,
4.100069284439087,1769271999.3391714,1769271999.3391714,,
