exp_time,servo_time,baseline_time,sync_time,offset
2.1457672119140625e-05,1768765925.598755,1768765925.598755,,
0.10033750534057617,1768765925.699101,1768765925.699101,,
0.20010828971862793,1768765925.7989018,1768765925.7989018,,
0.3002958297729492,1768765925.8991194,1768765925.8991194,,
0.40013718605041504,1768765925.9989908,1768765925.9989908,,
0.5001413822174072,1768765926.099025,1768765926.099025,,
0.6001346111297607,1768765926.1990483,1768765926.1990483,,
0.7001426219940186,1768765926.2990863,1768765926.2990863,,
0.8000993728637695,1768765926.3990731,1768765926.3990731,,
0.9003524780273438,1768765926.4993563,1768765926.4993563,,
1.0001075267791748,1768765926.5991414,1768765926.5991414,,
1.100128173828125,1768765926.699192,1768765926.699192,,
1.2000818252563477,1768765926.7991757,1768765926.7991757,,
1.3000996112823486,1768765926.8992236,1768765926.8992236,,
1.4000916481018066,1768765926.9992456,1768765926.9992456,,
1.5001308917999268,1768765927.099315,1768765927.099315,,
1.6000847816467285,1768765927.1992989,1768765927.1992989,,
1.7001368999481201,1768765927.299381,1768765927.299381,,
1.8002772331237793,1768765927.3995514,1768765927.3995514,,
1.9001328945159912,1768765927.499437,1768765927.499437,,
2.000126361846924,1768765927.5994606,1768765927.5994606,,
2.1002144813537598,1768765927.6995788,1768765927.6995788,,
2.200120210647583,1768765927.7995145,1768765927.7995145,,
2.300168752670288,1768765927.899593,1768765927.899593,,
2.4003846645355225,1768765927.999839,1768765927.999839,,
2.5001115798950195,1768765928.0995958,1768765928.0995958,,
2.600102663040161,1768765928.199617,1768765928.199617,,
2.7003586292266846,1768765928.299903,1768765928.299903,,
2.8002803325653076,1768765928.3998547,1768765928.3998547,,
2.900350570678711,1768765928.499955,1768765928.499955,,
3.000129222869873,1768765928.5997636,1768765928.5997636,,
3.1001710891723633,1768765928.6998355,1768765928.6998355,,
3.2001755237579346,1768765928.79987,1768765928.79987,,
3.300311326980591,1768765928.9000359,1768765928.9000359,,
3.400338649749756,1768765929.0000932,1768765929.0000932,,
3.50032639503479,1768765929.100111,1768765929.100111,,
3.600372552871704,1768765929.2001872,1768765929.2001872,,
3.700397491455078,1768765929.3002422,1768765929.3002422,,
3.800344944000244,1768765929.4002197,1768765929.4002197,,
3.900325059890747,1768765929.5002298,1768765929.5002298,,
4.000351428985596,1768765929.6002862,1768765929.6002862,,
4.100339651107788,1768765929.7003045,1768765929.7003045,,
4.200129270553589,1768765929.8001242,1768765929.8001242,,
4.30016016960144,1768765929.900185,1768765929.900185,,
4.400341749191284,1768765930.0003967,1768765930.0003967,,
4.500351428985596,1768765930.1004364,1768765930.1004364,,
4.6003334522247314,1768765930.2004485,1768765930.2004485,,
4.700333118438721,1768765930.3004782,1768765930.3004782,,
4.800340414047241,1768765930.4005156,1768765930.4005156,,
4.9003586769104,1768765930.5005639,1768765930.5005639,,
5.000403165817261,1768765930.5090046,1768765930.6006384,5.000403165817261,-17.44590187072754
5.100131988525391,1768765930.5174189,1768765930.700397,,
5.200127601623535,1768765930.5258555,1768765930.8004227,,
5.300133466720581,1768765930.5342932,1768765930.9004586,,
5.4003331661224365,1768765930.542747,1768765931.0006883,,
5.50036096572876,1768765930.5511863,1768765931.1007462,,
5.600367069244385,1768765930.559624,1768765931.2007823,,
5.700470685958862,1768765930.5680697,1768765931.300916,,
5.800273180007935,1768765930.5764902,1768765931.4007485,,
5.900325536727905,1768765930.5849316,1768765931.500831,,
6.000326633453369,1768765930.5933688,1768765931.600862,,
6.1001136302948,1768765930.6017878,1768765931.700679,,
