exp_time,servo_time,baseline_time,sync_time,offset
5.7220458984375e-06,1769261493.9548683,1769261493.9548683,,
0.1003563404083252,1769261494.055249,1769261494.055249,,
0.20035243034362793,1769261494.155275,1769261494.155275,,
0.3003523349761963,1769261494.255305,1769261494.255305,,
0.40009379386901855,1769261494.3550766,1769261494.3550766,,
0.5001094341278076,1769261494.4551222,1769261494.4551222,,
0.60007643699646,1769261494.5551193,1769261494.5551193,,
0.7000758647918701,1769261494.6551487,1769261494.6551487,,
0.8000717163085938,1769261494.7551746,1769261494.7551746,,
0.9000992774963379,1769261494.8552322,1769261494.8552322,,
1.0000965595245361,1769261494.9552596,1769261494.9552596,,
1.10007643699646,1769261495.0552695,1769261495.0552695,,
1.2000935077667236,1769261495.1553166,1769261495.1553166,,
1.300093173980713,1769261495.2553463,1769261495.2553463,,
1.400068998336792,1769261495.3553522,1769261495.3553522,,
1.500075340270996,1769261495.4553885,1769261495.4553885,,
1.6000752449035645,1769261495.5554185,1769261495.5554185,,
1.7000789642333984,1769261495.6554523,1769261495.6554523,,
1.8001008033752441,1769261495.7555041,1769261495.7555041,,
1.9001128673553467,1769261495.8555462,1769261495.8555462,,
2.0000996589660645,1769261495.955563,1769261495.955563,,
2.10007381439209,1769261496.0555673,1769261496.0555673,,
2.200091600418091,1769261496.155615,1769261496.155615,,
2.300091505050659,1769261496.255645,1769261496.255645,,
2.4000918865203857,1769261496.3556755,1769261496.3556755,,
2.5000858306884766,1769261496.4556994,1769261496.4556994,,
2.600100040435791,1769261496.5557437,1769261496.5557437,,
2.700098752975464,1769261496.6557724,1769261496.6557724,,
2.8000693321228027,1769261496.755773,1769261496.755773,,
2.900071859359741,1769261496.8558056,1769261496.8558056,,
3.0000996589660645,1769261496.9558635,1769261496.9558635,,
3.100071907043457,1769261497.0558658,1769261497.0558658,,
3.200096845626831,1769261497.1559207,1769261497.1559207,,
3.3003785610198975,1769261497.2562325,1769261497.2562325,,
3.400355577468872,1769261497.3562396,1769261497.3562396,,
3.5001180171966553,1769261497.456032,1769261497.456032,,
3.6000959873199463,1769261497.55604,1769261497.55604,,
3.7000973224639893,1769261497.6560714,1769261497.6560714,,
3.800103187561035,1769261497.7561073,1769261497.7561073,,
3.9000918865203857,1769261497.856126,1769261497.856126,,
4.000123023986816,1769261497.9561872,1769261497.9561872,,
4.1000940799713135,1769261498.0561883,1769261498.0561883,,
4.200098276138306,1769261498.1562226,1769261498.1562226,,
4.300070285797119,1769261498.2562246,1769261498.2562246,,
4.400094985961914,1769261498.3562794,1769261498.3562794,,
4.500086545944214,1769261498.456301,1769261498.456301,,
4.600069761276245,1769261498.5563142,1769261498.5563142,,
4.700080394744873,1769261498.656355,1769261498.656355,,
4.800070285797119,1769261498.7563748,1769261498.7563748,,
4.900068998336792,1769261498.8564036,1769261498.8564036,,
