variation,mean_offset_ms,mean_abs_offset_ms,rms_offset_ms,max_offset_ms,std_dev_ms,jitter_ms,convergence_s,settling_1pct_s
Overdamped (Conservative),-1249.301340844896,2338.8881550894844,4831.272256871769,17866.023302078247,4666.951658179243,41.41013050055623,,
Critically damped (Balanced),-788.3993917041354,1847.4976619084675,4417.715272725878,17888.386011123657,4346.795903885531,35.68501581643913,,
Underdamped (Agressive),-430.1702711317275,1587.8301461537678,4356.125162256651,17882.489681243896,4334.833326332165,15.334852074782356,,
"Fast sync (5s, stable)",-377.9346534184047,1467.5618921007429,3488.1841116557753,17886.970281600952,3467.6496066577,44.555605621722336,,
"Slow sync (20s, stable)",-1566.1087036132812,2404.8107465108237,5973.046915360284,17869.13752555847,5764.077808423629,22.67056029210331,,
